Attaching 7 probes...
timestamp,cpu_ns,read_bytes,write_bytes,alloc_bytes
10:42:11,838242,0,0,0
10:42:12,812706,0,0,0
10:42:13,887432,0,0,0
10:42:14,1577680,3,57,0
10:42:15,1853846,3,48,0
10:42:16,4308215,12,263,0
10:42:17,1812321,3,53,0
10:42:18,11318553,13906436,176,0
10:42:19,820832,0,0,0
10:42:20,937534,0,0,0
10:42:21,966524,0,0,0
10:42:22,1553483,1,45,0
10:42:23,7988953,5,271,0
10:42:24,866990,0,0,0
10:42:25,981085,0,0,0
10:42:26,982944,0,0,0
10:42:27,5275400,6,287,0
10:42:28,4844187,6,339,0
10:42:29,5042883,6,375,0
10:42:30,3704802,4,262,0
10:42:31,4988553,6,387,0
10:42:32,1546535,1,68,0
10:42:33,8517545,3,221,0
10:42:34,929151,0,0,0
10:42:35,3321922,4,186,0
10:42:36,4548312,6,323,0
10:42:37,5152107,6,363,0
10:42:38,290657015,2,67,0
10:42:39,0,0,0,0
10:42:40,0,0,0,0
10:42:41,-1879228721,0,0,0
10:42:42,809261392,0,256,0
10:42:43,2207147,2,91,0
10:42:44,9923117,4,225,0
10:42:45,993940,0,0,0
10:42:46,10581953,1,2220,256
10:42:47,0,0,0,0
10:42:48,0,0,0,0







